;open_time;close_time;interval;open_price;close_price;low_price;high_price;volume;nr_trades
726;1639440000;1639526399;86399;3781.92;3858.99;3685.0;3882.74;790291.4924;1831442
727;1639526400;1639612799;86399;3858.99;4019.08;3643.73;4092.22;1084136.1146;2476468
728;1639612800;1639699199;86399;4019.54;3958.11;3942.11;4113.43;737560.062;1697770
729;1639699200;1639785599;86399;3959.11;3875.42;3700.0;3994.1;926741.845;2105742
730;1639785600;1639871999;86399;3875.43;3959.93;3767.01;3996.93;679186.5086;1481798
731;1639872000;1639958399;86399;3959.93;3924.14;3884.0;4032.43;612012.646;1376156
732;1639958400;1640044799;86399;3924.14;3944.73;3753.0;3983.37;733832.9542;1688140
733;1640044800;1640131199;86399;3944.72;4014.15;3913.21;4063.0;681652.7106;1598254
734;1640131200;1640217599;86399;4014.41;3979.51;3933.4;4074.87;606383.6152;1351652
735;1640217600;1640303999;86399;3979.51;4111.41;3893.23;4150.0;760415.6332;1823810
736;1640304000;1640390399;86399;4111.41;4046.36;4017.17;4134.84;461666.3322;1187026
737;1640390400;1640476799;86399;4046.35;4094.83;4018.62;4137.91;416253.761;1030230
738;1640476800;1640563199;86399;4094.36;4063.56;4000.0;4105.0;378618.51;992152
739;1640563200;1640649599;86399;4063.57;4037.23;4031.0;4127.46;444450.7522;1114734
740;1640649600;1640735999;86399;4037.22;3792.75;3759.36;4037.23;716129.4326;1693560
741;1640736000;1640822399;86399;3792.75;3630.19;3604.2;3827.78;605507.275;1439118
742;1640822400;1640908799;86399;3630.18;3709.27;3585.0;3769.1;498527.461;1166722
743;1640908800;1640995199;86399;3709.27;3676.23;3622.29;3815.0;536028.5884;1234740
744;1640995200;1641081599;86399;3676.22;3765.54;3673.46;3776.45;308287.7936;817332
745;1641081600;1641167999;86399;3765.54;3828.27;3717.3;3857.44;309582.8526;901220
746;1641168000;1641254399;86399;3828.11;3765.89;3680.0;3853.09;472491.7172;1189082
747;1641254400;1641340799;86399;3765.89;3785.11;3713.11;3900.73;576517.1098;1353302
748;1641340800;1641427199;86399;3785.1;3540.63;3415.0;3848.0;795884.0726;1925340
749;1641427200;1641513599;86399;3539.82;3406.81;3300.0;3550.43;993491.4826;2012558
750;1641513600;1641599999;86399;3406.81;3199.24;3064.42;3416.76;1339263.4524;2615182
751;1641600000;1641686399;86399;3198.68;3080.95;3000.0;3250.0;801384.2122;1629200
752;1641686400;1641772799;86399;3080.98;3151.97;3057.35;3211.72;551748.3286;1183046
753;1641772800;1641859199;86399;3151.97;3082.68;2928.83;3185.0;1059636.7732;1870314
754;1641859200;1641945599;86399;3082.87;3239.72;3051.8;3263.54;724893.4174;1337922
755;1641945600;1642031999;86399;3239.73;3371.26;3206.2;3411.43;740931.603;1474392
756;1642032000;1642118399;86399;3371.6;3240.61;3233.43;3410.0;672469.7598;1332972
757;1642118400;1642204799;86399;3240.61;3307.42;3188.0;3342.79;570652.701;1144250
